"","ctuniq","lot","bldgclass","borocode","borough","id","x","y"
"12348","BX026602",25,"M1",2,"BX","12348",-73.8301440697542,40.8482929338436
"12349","BX030000",1,"M1",2,"BX","12349",-73.8283114281193,40.8497284487916
"12350","BX028800",35,"K1",2,"BX","12350",-73.8514169073304,40.8508501717862
"12351","BX028800",31,"I5",2,"BX","12351",-73.850313859704,40.8511094930314
"12352","BX029600",1,"I1",2,"BX","12352",-73.8459162264092,40.8551878269098
"12353","BX029600",15,"K2",2,"BX","12353",-73.8437490234663,40.8513780035855
"12354","BX029600",6,"K2",2,"BX","12354",-73.8430784943848,40.8536799028828
"12355","BX029600",9,"K1",2,"BX","12355",-73.8431827470372,40.8539243235374
"12356","BX029600",11,"K1",2,"BX","12356",-73.8432907445975,40.8541138550426
"12357","BX029600",13,"K1",2,"BX","12357",-73.843192963745,40.8541905739626
"12358","BX029600",14,"K1",2,"BX","12358",-73.8433191069741,40.8543499383233
"12359","BX029600",1,"K2",2,"BX","12359",-73.8433937255834,40.8548989808981
"12360","BX029600",29,"K1",2,"BX","12360",-73.8419732675154,40.8548229368828
"12361","BX029600",1,"K1",2,"BX","12361",-73.8436616777104,40.8562442501717
"12362","BX029600",5,"P5",2,"BX","12362",-73.8429958265065,40.8565425188506
"12363","BX029600",24,"K2",2,"BX","12363",-73.8393101784303,40.8558814596311
"12364","BX028400",6,"I1",2,"BX","12364",-73.843887151875,40.8479692624622
"12365","BX025800",7,"K1",2,"BX","12365",-73.8435096473011,40.8471124015429
"12366","BX028400",30,"I1",2,"BX","12366",-73.8396571739608,40.8498984804179
"12367","BX030000",1,"M1",2,"BX","12367",-73.8334078045448,40.8497990494644
"12368","BX030000",45,"K1",2,"BX","12368",-73.8305796471079,40.8504097454607
"12369","BX030000",64,"K1",2,"BX","12369",-73.8307557598191,40.8493834826928
"12370","BX030000",10,"K2",2,"BX","12370",-73.8294526210887,40.851533415413
"12371","BX030000",1,"K1",2,"BX","12371",-73.8288409169937,40.8518536403689
"12372","BX030000",21,"K2",2,"BX","12372",-73.8275671982281,40.8523732381709
"12373","BX030000",20,"K2",2,"BX","12373",-73.8298783017016,40.8518661536666
"12374","BX030000",1,"K1",2,"BX","12374",-73.8292410752812,40.8522714290441
"12375","BX030000",65,"K1",2,"BX","12375",-73.8288539632464,40.8524026013933
"12376","BX030000",68,"K1",2,"BX","12376",-73.8289806544711,40.8523341715693
"12377","BX030000",1,"K1",2,"BX","12377",-73.8277608429649,40.8529718738244
"12378","BX030000",46,"K1",2,"BX","12378",-73.8275250094874,40.8533091205609
"12379","BX030000",48,"K2",2,"BX","12379",-73.827532644671,40.8531526836253
"12380","BX030000",49,"K2",2,"BX","12380",-73.8275546605046,40.85302645997
"12381","BX030000",26,"I1",2,"BX","12381",-73.8307630196445,40.8550540604512
"12382","BX023000",1,"K2",2,"BX","12382",-73.8675663449729,40.8475981501469
"12383","BX023000",35,"K2",2,"BX","12383",-73.8674835792845,40.8510426631208
"12384","BX023000",1,"M1",2,"BX","12384",-73.8649412567546,40.848086409348
"12385","BX024600",5,"K1",2,"BX","12385",-73.8623196706496,40.8486102942016
"12386","BX024600",15,"K4",2,"BX","12386",-73.8624962764184,40.8488547838699
"12387","BX025000",37,"M1",2,"BX","12387",-73.856896107809,40.8511233354046
"12388","BX028800",45,"K1",2,"BX","12388",-73.8528982938286,40.8527623864409
"12389","BX028800",54,"K2",2,"BX","12389",-73.8531434288467,40.8530646164784
"12390","BX028800",61,"K2",2,"BX","12390",-73.8534714577235,40.8534794842509
"12391","BX028800",71,"K2",2,"BX","12391",-73.8539402083825,40.8540125516626
"12392","BX022401",35,"K1",2,"BX","12392",-73.8680954065465,40.8542080103032
"12393","BX022401",40,"K1",2,"BX","12393",-73.868052693121,40.8538731074121
"12394","BX022402",14,"K1",2,"BX","12394",-73.8673998386175,40.853158735426
"12395","BX022402",18,"K1",2,"BX","12395",-73.8673848268909,40.8534359334453
